       Document_No  Dominant_Topic  Topic_Perc_Contrib                                           Keywords                                               Text
0                0             9.0              0.0673  day, dose, administr, oral, receiv, intraven, ...                  intraven azithromycininduc ototox
1                1            19.0              0.0750  level, improv, normal, increas, serum, increa,...  immobil while paget bone diseas wa present and...
2                2            10.0              0.0883  patient, toxic, sever, treatment, develop, res...  unaccount sever hypercalcemia in a patient tre...
3                3            11.0              0.0926  case, report, thi, describ, present, previous,...  method we report two case of pseudoporphyria c...
4                4            11.0              0.0867  case, report, thi, describ, present, previous,...  method we report two case of pseudoporphyria c...
5                5             1.0              0.0944  disea, associ, liver, disord, abnorm, injuri, ...  naproxen the most common offend ha been associ...
6                6            17.0              0.2410  develop, yearold, woman, present, week, man, f...  result a 44yearold man take naproxen for chron...
7                7            17.0              0.2410  develop, yearold, woman, present, week, man, f...  result a 44yearold man take naproxen for chron...
8                8            17.0              0.2394  develop, yearold, woman, present, week, man, f...  result a 44yearold man take naproxen for chron...
9                9            17.0              0.2410  develop, yearold, woman, present, week, man, f...  result a 44yearold man take naproxen for chron...
10              10             3.0              0.0898  patient, wa, treat, month, year, combin, time,...  background how to best treat psychot patient w...
11              11             3.0              0.1047  patient, wa, treat, month, year, combin, time,...  conclus the result suggest that olanzapin may ...
12              12             1.0              0.0863  disea, associ, liver, disord, abnorm, injuri, ...  prolong sever 5fluorouracilassoci neurotox in ...
13              13            16.0              0.1087  clinic, studi, find, respon, method, signific,...  we describ the side effect of 5fu in a colon c...
14              14            16.0              0.1087  clinic, studi, find, respon, method, signific,...  we describ the side effect of 5fu in a colon c...
15              15            16.0              0.1087  clinic, studi, find, respon, method, signific,...  we describ the side effect of 5fu in a colon c...
16              16            11.0              0.0843  case, report, thi, describ, present, previous,...  thi case suggest that bhac a deriv of cytosin ...
17              17            13.0              0.0990  acut, renal, patient, failur, chronic, hepat, ...  we report a case of revers encephalopathi synd...
18              18            13.0              0.1006  acut, renal, patient, failur, chronic, hepat, ...  we report a case of revers encephalopathi synd...
19              19            11.0              0.0789  case, report, thi, describ, present, previous,...  in one case the readministr of riluzol wa foll...
20              20             9.0              0.0873  day, dose, administr, oral, receiv, intraven, ...  we report the case of two patient who develop ...
21              21             0.0              0.0776  drug, syndrom, reaction, effect, associ, adver...  lupuslik syndrom caus by 5aminosalicyl acid in...
22              22            19.0              0.0682  level, improv, normal, increas, serum, increa,...  although the two local anesthet usual do not c...
23              23             2.0              0.1293  pain, inject, complet, complic, success, surge...  methemoglobinemia after axillari block with bu...
24              24             2.0              0.1293  pain, inject, complet, complic, success, surge...  methemoglobinemia after axillari block with bu...
25              25            13.0              0.1135  acut, renal, patient, failur, chronic, hepat, ...  we report a patient with chronic renal failur ...
26              26            13.0              0.1119  acut, renal, patient, failur, chronic, hepat, ...  we report a patient with chronic renal failur ...
27              27             6.0              0.1101  show, diagnosi, reveal, biopsi, examin, cell, ...  detect of activ eosinophil in nasal polyp of a...
28              28            16.0              0.0720  clinic, studi, find, respon, method, signific,...  an episod of subacut encephalopathi after the ...
29              29            11.0              0.1013  case, report, thi, describ, present, previous,...  we believ that thi repres an unusu case of mod...
30              30             7.0              0.1348  patient, receiv, pulmonari, describ, seizur, i...  we describ a life threaten side effect of acut...
31              31            17.0              0.1287  develop, yearold, woman, present, week, man, f...  a 14yearold girl with newli diagnos sle develo...
32              32            18.0              0.0710  patient, therapi, chemotherapi, treat, progres...  hydroxyureainduc acut interstiti pneumon in a ...
33              33            16.0              0.0724  clinic, studi, find, respon, method, signific,...  the clinic cours suggest that the interstiti p...
34              34            11.0              0.0982  case, report, thi, describ, present, previous,...  thi is the first case of hydroxyureainduc acut...
35              35             0.0              0.0833  drug, syndrom, reaction, effect, associ, adver...    allerg and irrit contact dermat to calcipotriol
36              36             0.0              0.0959  drug, syndrom, reaction, effect, associ, adver...  calcipotriol daivonex r leo pharmaceut zurich ...
37              37             0.0              0.0905  drug, syndrom, reaction, effect, associ, adver...  calcipotriol daivonex r leo pharmaceut zurich ...
38              38             0.0              0.1183  drug, syndrom, reaction, effect, associ, adver...  the present observ suggest that a batch of dif...
39              39             1.0              0.0903  disea, associ, liver, disord, abnorm, injuri, ...  myotonia associ with sarcoidosi mark exacerb w...
